 2600,7,1 ,1 ,634 
 2795,3,0,1 ,350 
 9500,7,4 ,3 ,3220 
 6700,5,3 ,2 ,1600 
 7000,3,4 ,2 ,1300 
 4700,7,2 ,2 ,1109 
 5900,3,2 ,2 ,
 5500,1,2 ,1.5 ,1500 
 7000,13,3 ,1 ,
 3895,7,2 ,1 ,1000 
 1950,21,2 ,1 ,
 3000,1,2 ,1 ,1100 
 5900,1,3 ,2 ,1759 
 2849,1,2 ,1 ,598 
 2450,19,1 ,1 ,490 
 3995,5,2 ,1 ,1000 
 4950,19,2 ,1.5 ,
 3295,33,2 ,2 ,
 6500,5,2 ,2 ,1131 
 3500,3,1 ,1 ,775 
 7000,1,3 ,2 ,1099 
 6800,7,2 ,2 ,
 1450,3,1 ,1 ,600 
 2250,7,1 ,1 ,922 
 6250,3,3 ,2 ,1450 
 3500,7,1 ,1 ,
 6695,15,3 ,2 ,1800 
 6300,35,3 ,2 ,1500 
 7000,7,4 ,2 ,1300 
 4200,3,1 ,1 ,651 
 2850,5,1 ,1 ,
 4495,3,1 ,2 ,1100 
 5700,23,2 ,2 ,1800 
 1325,1,3 ,1 ,900 
 3300,3,0,1 ,350 
 4795,9,2 ,1 ,
 8300,5,3 ,1 ,1200 
 3495,11,1 ,1 ,600 
 4750,1,1 ,1 ,900 
 3000,21,2 ,1 ,750 
 1995,9,0,1 ,
 4295,31,3 ,2 ,3645 
 3675,5,2 ,1 ,1482 
 3043+,1,1 ,1 ,714 
 6350,7,2 ,2 ,1255 
 11500,11,4 ,4 ,2200 
 2700,5,2 ,1 ,700 
 2300,3,1 ,1 ,850 
 3400,21,2 ,1 ,900 
 5490,7,2 ,2.5 ,1500 
 3250,15,2 ,2 ,
 6200,3,2 ,2 ,1558 
 8500,3,2 ,2 ,1330 
 5195,23,0,1 ,1000 
 2100,17,0,1 ,
 7200,3,2 ,2 ,1323 
 5290,23,2 ,2 ,960 
 5000,9,2 ,2 ,780 
 2300,11,1 ,1 ,728 
 5400,5,2 ,1 ,1100 
 3200,7,2 ,2 ,
 3995,33,1 ,1 ,
 5250,5,2 ,1 ,932 
 7500,5,3 ,2 ,1433 
 2975,7,1 ,1 ,500 
 4200,7,1 ,1.5 ,1177 
 1500,11,1 ,1 ,550 
 5250,25,2 ,2 ,
 4250,3,2 ,1.5 ,
 4695,1,2 ,1 ,850 
 2195,19,2 ,1 ,1100 
 3195,15,3 ,1 ,
 3250,3,2 ,1 ,1400 
 2800,7,1 ,1 ,768 
 6500,5,2 ,2 ,900 
 1895,3,0,1 ,500 
 3800,13,2 ,2 ,
